time,lat,lon
23-04-21 16:46:19:583000,43.75965,11.291561
23-04-21 16:46:36:570000,43.759645,11.291544
23-04-21 16:46:52:647000,43.759671,11.291162
23-04-21 16:47:37:568000,43.759677,11.291148
23-04-21 16:47:49:639000,43.759691,11.290932
23-04-21 16:48:06:575000,43.759055,11.290565
23-04-21 16:48:20:592000,43.758141,11.290188
23-04-21 16:48:37:578000,43.758306,11.28972
23-04-21 16:48:49:567000,43.758309,11.289713
23-04-21 16:49:07:643000,43.758365,11.289666
23-04-21 16:49:22:582000,43.759103,11.288925
23-04-21 16:49:36:574000,43.759972,11.288035
23-04-21 16:49:50:587000,43.760241,11.287775
23-04-21 16:50:11:643000,43.760288,11.287721
23-04-21 16:50:36:583000,43.761299,11.286694
23-04-21 16:50:50:533000,43.761599,11.28636
23-04-21 16:51:20:581000,43.761795,11.286163
23-04-21 16:51:37:575000,43.76236,11.28572
23-04-21 16:51:51:564000,43.762266,11.284852
23-04-21 16:52:05:587000,43.7624,11.283531
23-04-21 16:52:18:530000,43.762437,11.283246
23-04-21 16:52:36:491000,43.762449,11.282991
23-04-21 16:52:50:590000,43.762486,11.282785
23-04-21 16:53:06:584000,43.762434,11.282198
23-04-21 16:53:21:568000,43.762472,11.280611
23-04-21 16:53:35:592000,43.762535,11.27912
23-04-21 16:53:49:583000,43.76254,11.279016
23-04-21 16:54:06:576000,43.7626,11.278126
23-04-21 16:54:22:562000,43.76257,11.276512
23-04-21 16:54:36:589000,43.762425,11.275345
23-04-21 16:54:51:596000,43.762903,11.27523
23-04-21 16:55:07:573000,43.762908,11.275236
23-04-21 16:55:19:592000,43.763133,11.275228
23-04-21 16:55:36:589000,43.763283,11.27509
23-04-21 16:55:52:583000,43.76336,11.273757
23-04-21 16:56:04:626000,43.763512,11.272595
23-04-21 16:56:21:572000,43.763568,11.272314
23-04-21 16:56:37:563000,43.763602,11.272099
23-04-21 16:56:51:550000,43.763702,11.271708
23-04-21 16:57:06:578000,43.763899,11.271241
23-04-21 16:57:20:600000,43.76405,11.270803
23-04-21 16:57:35:540000,43.764292,11.269968
23-04-21 16:57:51:569000,43.764516,11.2683
23-04-21 16:58:07:652000,43.764618,11.267381
23-04-21 16:58:20:542000,43.764618,11.267374
23-04-21 16:58:36:568000,43.764755,11.265969
23-04-21 16:58:50:644000,43.764927,11.264206
23-04-21 16:59:05:587000,43.764987,11.263622
23-04-21 16:59:22:553000,43.765031,11.263195
23-04-21 16:59:36:598000,43.765178,11.261621
23-04-21 16:59:52:642000,43.765362,11.259665
23-04-21 17:00:09:626000,43.765457,11.258823
23-04-21 17:00:19:576000,43.765459,11.258781
23-04-21 17:00:36:571000,43.765923,11.258619
23-04-21 17:00:50:638000,43.766381,11.25882
23-04-21 17:01:07:579000,43.767047,11.259151
23-04-21 17:01:17:583000,43.767482,11.259286
23-04-21 17:01:36:541000,43.767544,11.259353
23-04-21 17:02:21:566000,43.767572,11.259353
23-04-21 17:02:35:587000,43.767788,11.259457
23-04-21 17:02:51:578000,43.768538,11.260142
23-04-21 17:03:04:481000,43.768968,11.260589
23-04-21 17:03:22:590000,43.769659,11.261107
23-04-21 17:03:36:536000,43.770044,11.261404
23-04-21 17:03:51:552000,43.770065,11.261442
23-04-21 17:04:07:579000,43.77016,11.261521
23-04-21 17:04:19:618000,43.770544,11.261745
23-04-21 17:04:36:477000,43.771259,11.262391
23-04-21 17:04:50:648000,43.771376,11.262565
23-04-21 17:05:07:542000,43.771412,11.262617
23-04-21 17:05:37:594000,43.771549,11.262584
23-04-21 17:05:51:578000,43.771776,11.261961
23-04-21 17:06:06:570000,43.7721,11.261193
23-04-21 17:06:20:592000,43.77257,11.26042
23-04-21 17:06:36:582000,43.773178,11.259512
23-04-21 17:06:51:565000,43.773383,11.259126
23-04-21 17:07:07:647000,43.773704,11.258551
23-04-21 17:07:19:579000,43.774057,11.258016
23-04-21 17:07:36:565000,43.774363,11.25715
23-04-21 17:07:50:641000,43.774689,11.256335
23-04-21 17:08:07:537000,43.775263,11.25614
23-04-21 17:08:21:571000,43.776456,11.257142
23-04-21 17:08:35:594000,43.77661,11.257262
23-04-21 17:08:49:628000,43.777193,11.257727
23-04-21 17:09:04:588000,43.777827,11.258301
23-04-21 17:09:22:637000,43.777627,11.258791
23-04-21 17:09:37:572000,43.777809,11.259209
23-04-21 17:09:51:586000,43.778064,11.258823
23-04-21 17:10:05:624000,43.778081,11.258789
23-04-21 17:10:36:586000,43.778163,11.258087
23-04-21 17:10:48:554000,43.778549,11.257165
23-04-21 17:11:07:587000,43.779175,11.25572
23-04-21 17:11:21:564000,43.779496,11.254937
23-04-21 17:11:36:546000,43.77957,11.254756
23-04-21 17:12:37:573000,43.779596,11.254733
23-04-21 17:12:51:592000,43.779583,11.254295
23-04-21 17:13:05:572000,43.779206,11.253978
23-04-21 17:13:20:592000,43.779205,11.253974
23-04-21 17:13:36:590000,43.778464,11.253364
