flights,airport1-name,airport1-lon,airport1-lat,airport2,airport2-lon,airport2-lat
274,Sochi,39.956589,43.449928,Kazan,49.278728,55.606186
274,Astrakhan,48.006278,46.283333,Kazan,49.278728,55.606186
274,Astrakhan,48.006278,46.283333,Mineralnyye Vody,43.081889,44.225072
274,Balandino,61.503333,55.305836,Kazan,49.278728,55.606186
274,Balandino,61.503333,55.305836,Tolmachevo,82.650656,55.012622
274,Domododevo,37.906111,55.408611,Kazan,49.278728,55.606186
274,Domododevo,37.906111,55.408611,Begishevo,52.06,55.34
274,Domododevo,37.906111,55.408611,Bugulma Airport,52.8017,54.64
274,Belgorod International Airport,36.5901,50.6438,Khrabrovo,20.592633,54.89005
274,Belgorod International Airport,36.5901,50.6438,Kazan,49.278728,55.606186
274,Heydar Aliyev,50.046667,40.4675,Begishevo,52.06,55.34
274,Khrabrovo,20.592633,54.89005,Belgorod International Airport,36.5901,50.6438
274,Kazan,49.278728,55.606186,Sochi,39.956589,43.449928
274,Kazan,49.278728,55.606186,Astrakhan,48.006278,46.283333
274,Kazan,49.278728,55.606186,Balandino,61.503333,55.305836
274,Kazan,49.278728,55.606186,Domododevo,37.906111,55.408611
274,Kazan,49.278728,55.606186,Belgorod International Airport,36.5901,50.6438
274,Kazan,49.278728,55.606186,Pulkovo,30.262503,59.800292
274,Kazan,49.278728,55.606186,Koltsovo,60.802728,56.743108
274,Pulkovo,30.262503,59.800292,Kazan,49.278728,55.606186
274,Pulkovo,30.262503,59.800292,Begishevo,52.06,55.34
274,Pulkovo,30.262503,59.800292,Bugulma Airport,52.8017,54.64
274,Mineralnyye Vody,43.081889,44.225072,Astrakhan,48.006278,46.283333
274,Begishevo,52.06,55.34,Domododevo,37.906111,55.408611
274,Begishevo,52.06,55.34,Heydar Aliyev,50.046667,40.4675
274,Begishevo,52.06,55.34,Pulkovo,30.262503,59.800292
274,Begishevo,52.06,55.34,Koltsovo,60.802728,56.743108
274,Nizhnevartovsk,76.483617,60.949272,Koltsovo,60.802728,56.743108
274,Nizhnevartovsk,76.483617,60.949272,Bugulma Airport,52.8017,54.64
274,Novyi Urengoy,76.313938,66.041811,Koltsovo,60.802728,56.743108
274,Tolmachevo,82.650656,55.012622,Balandino,61.503333,55.305836
274,Tolmachevo,82.650656,55.012622,Koltsovo,60.802728,56.743108
274,Koltsovo,60.802728,56.743108,Kazan,49.278728,55.606186
274,Koltsovo,60.802728,56.743108,Begishevo,52.06,55.34
